Finish Position,BIB,NAME,NATIONALITY,Net Finish Time
1,19,DERARA HURISA,ETH,2:08:09
2,2,AYELE ABSHERO,ETH,2:08:20
3,8,BIRHANU TESHOME,ETH,2:08:26
4,14,JACKSON KIPROP,UGA,2:08:41
5,15,ABDI ALI,BHR,2:08:56
6,9,PAUL MAINA,KEN,2:09:01
7,3,ABERA KUMA,ETH,2:09:15
8,18,KEBEDE WAMI,ETH,2:10:04
9,12,MERHAWI KESETE,ERI,2:10:36
10,11,BIRA SEBOKA,ETH,2:10:37
11,7,VINCENT RONO,KEN,2:11:15
12,10,SHUMET AKALNEW,ETH,2:13:39
13,51,SRINU BUGATHA,IND,2:18:44
14,56,SHER SINGH,IND,2:24:00
15,53,DURGA BAHADUR BUDHA,IND,2:24:03
16,70,RAVIPRAKASH,IND,2:24:32
17,27,SYLVESTER KIPTOO,KEN,2:24:53
18,55,RAHUL PAL,IND,2:26:56
19,54,PRADEEP SINGH CHAUDHARY,IND,2:29:27
20,57,MOHIT RATHORE,IND,2:31:16
